"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"9327","85ae0046fb8111ed99031af2246d8fa2","lenalidomide",24,"t_cd8_memory",-2.15384277405656,4.57688004062641,"#009444","#59C1BD"
"9328","c14def26fb8111edb32712c42668f295","lenalidomide",24,"t_cd8_naive",-6.84750339093126,1.27614552066792,"#8DC63F","#59C1BD"
"9329","920f2d66fb8011edb519365d129239e0","lenalidomide",24,"t_cd4_naive",0.286226543761126,-2.90828686668407,"#93A7D1","#59C1BD"
"9330","423441a8fb8211ed9d09f6494964bb81","lenalidomide",24,"t_cd8_naive",-6.58922072949327,0.273762526969798,"#8DC63F","#59C1BD"
"9331","b136171cfb8111edb32712c42668f295","lenalidomide",24,"t_cd8_naive",-6.32077666821397,0.713698449592479,"#8DC63F","#59C1BD"
"9332","be38951efb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd4_naive",-0.808764186524518,-2.71719550802242,"#93A7D1","#59C1BD"
"9333","769ce5b4fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_naive",-0.222949472092756,-4.92929309322368,"#93A7D1","#59C1BD"
"9334","fa81c10cff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_naive",-0.597670164727338,-2.21858784272205,"#93A7D1","#59C1BD"
"9335","d3b06f9efb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_naive",-1.41053840222276,-2.70274215652477,"#93A7D1","#59C1BD"
"9336","f6cf6adcfb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-1.24580481352723,-2.38565832092296,"#93A7D1","#59C1BD"
"9337","97e1a750fb8011edb519365d129239e0","lenalidomide",24,"t_cd4_em",-0.536353436135419,3.25079590366352,"#1C75BC","#59C1BD"
"9338","fcf283e0fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-0.811479535721906,-3.76892822696697,"#93A7D1","#59C1BD"
"9339","47daa142fb8211ed9d09f6494964bb81","lenalidomide",24,"t_cd4_treg",4.56051901278578,0.497116866569407,"#E57A93","#59C1BD"
"9340","307ef9cafb8311ed9fae72654f839162","lenalidomide",24,"t_cd8_naive",-6.00777408184923,1.66284042881001,"#8DC63F","#59C1BD"
"9341","1940118efb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd4_naive",0.765591415739886,-1.1924691171838,"#93A7D1","#59C1BD"
"9342","f0659ee6fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-0.181570497178205,-3.16090386821758,"#93A7D1","#59C1BD"
"9343","cbfeef16fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",0.479887041426531,-1.89538450999986,"#93A7D1","#59C1BD"
"9344","fa130cdaff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_cm",-0.244158354424604,1.9002261786269,"#00AEEF","#59C1BD"
"9345","df29703cfb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_naive",-1.23152607383645,-2.44703030302059,"#93A7D1","#59C1BD"
"9346","45a15a62fb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd8_naive",-5.73948070111192,0.93049484775532,"#8DC63F","#59C1BD"
"9347","47371f88fb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd8_naive",-6.51968928875841,0.667523446540721,"#8DC63F","#59C1BD"
"9348","9d351336fb8011edb519365d129239e0","lenalidomide",24,"t_cd4_naive",-0.931919959210523,-2.62627547695171,"#93A7D1","#59C1BD"
"9349","2f7f577cfb8311ed9fae72654f839162","lenalidomide",24,"t_cd8_naive",-6.17886754574693,0.353063884239085,"#8DC63F","#59C1BD"
