gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
AC009554.1,-0.00238827844502723,0.995631196557584,no,-0.0135957285794679,0.622430844222418,no,gray80
AC009690.2,-0.0165671011395137,0.568713679783371,no,-0.00355543565689362,0.805420717378196,no,gray80
AC009950.1,-0.0386482072258903,0.0590579900966664,no,-0.0214472788125418,0.643018823291599,no,gray80
AC010186.3,-0.0209604021220474,0.361756914280646,no,-0.00264922071045057,0.734966485267743,no,gray80
AC010260.1,0.00792663628578497,0.595359344290953,no,0.00223464227561986,0.995152819168721,no,gray80
AC010275.1,-0.0330885979840788,0.0453452495673994,dn,0.0130433164178155,0.547590364006237,no,skyblue
AC010609.1,0.0316855535445186,0.643542037218052,no,0.0211887473084141,0.798916102733767,no,gray80
AC010618.3,-0.00397398327535094,0.891347300379969,no,0.014283049538946,0.572529034635438,no,gray80
AC010894.3,0.107742517284591,2.84754141577024e-05,up,0.0397961799048205,0.420960610930395,no,orange
AC010976.1,0.0102441651401622,0.820446389021341,no,0.000667175148653318,0.710203037964935,no,gray80
AC010978.1,0.00794384312601432,0.757276377993358,no,-0.0121636257784774,0.819092087092228,no,gray80
AC011476.3,-0.0288648280475629,0.257101591229982,no,-0.0361704330149767,0.128459296238965,no,gray80
