aifi_cell_type,gene,fg,timepoint,treat_time,logFC,nomP,adjP,treat_order,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_treg,CD74,bortezomib,72,bortezomib_72,-0.896124022677144,1.03096208423133e-09,1.74232592235096e-07,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,CXCR4,bortezomib,72,bortezomib_72,-0.572129438150463,7.22597607832291e-05,0.00249788854889299,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL2RA,bortezomib,72,bortezomib_72,-1.39319536143858,1.53680378759858e-15,1.08952409447964e-12,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL6ST,bortezomib,72,bortezomib_72,-0.183052443681505,0.359233533068026,0.70623981533365,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL7R,bortezomib,72,bortezomib_72,0.430572017363138,0.00439190536570997,0.0574219604118469,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,SLAMF1,bortezomib,72,bortezomib_72,-0.162898563369819,0.231572510202443,0.580871758483126,7,CD4 Treg,#E57A93,4,4
t_cd4_treg,TNFRSF4,bortezomib,72,bortezomib_72,-0.329686966887729,7.98557243971863e-05,0.00269416260753089,7,CD4 Treg,#E57A93,4,4
t_cd8_memory,CD69,bortezomib,72,bortezomib_72,-0.694530658267348,6.61406982631333e-11,3.04143867169377e-09,7,CD8 Memory,#009444,6,2
t_cd8_memory,CD74,bortezomib,72,bortezomib_72,-0.824193694282993,1.58711240277269e-19,2.37501956001357e-17,7,CD8 Memory,#009444,6,2
t_cd8_memory,CXCR4,bortezomib,72,bortezomib_72,-0.251527631610508,0.00464069656198941,0.0286322221843498,7,CD8 Memory,#009444,6,2
t_cd8_memory,IL2RA,bortezomib,72,bortezomib_72,-0.126900227863574,0.00581967497794413,0.0342624046354668,7,CD8 Memory,#009444,6,2
t_cd8_memory,IL6ST,bortezomib,72,bortezomib_72,-0.0104547392740511,0.432460877666081,0.636777000354824,7,CD8 Memory,#009444,6,2
t_cd8_memory,IL7R,bortezomib,72,bortezomib_72,0.245286528331662,0.0749641136794781,0.217556765515054,7,CD8 Memory,#009444,6,2
t_cd8_memory,SLAMF1,bortezomib,72,bortezomib_72,-0.469708135061996,4.49674563250986e-09,1.5388281856368e-07,7,CD8 Memory,#009444,6,2
t_cd8_naive,CD69,bortezomib,72,bortezomib_72,-0.208460990635185,0.000682605320558376,0.00226683103148718,7,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CD74,bortezomib,72,bortezomib_72,-0.808468573350247,1.81175907711847e-60,2.04864657645171e-58,7,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CXCR4,bortezomib,72,bortezomib_72,-0.358160049522783,9.61792898196894e-09,7.58533440025205e-08,7,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL6ST,bortezomib,72,bortezomib_72,-0.214772705290898,0.000117557019625095,0.000470332065249276,7,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL7R,bortezomib,72,bortezomib_72,0.756895345751682,3.90000885018459e-34,1.73790542161427e-32,7,CD8 Naive,#8DC63F,5,3
t_cd8_naive,SLAMF1,bortezomib,72,bortezomib_72,-0.0829447360785193,0.0020922028742558,0.00611702236603682,7,CD8 Naive,#8DC63F,5,3
t_cd4_cm,CD69,dexamethasone,4,dexamethasone_4,0.0507889256525768,0.428667192508607,0.74771955402089,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,CD74,dexamethasone,4,dexamethasone_4,-0.0600453334306775,0.0671235783787967,0.329906288973641,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,CXCR4,dexamethasone,4,dexamethasone_4,0.425356558049363,4.65850508916153e-26,9.64187961217248e-24,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL2RA,dexamethasone,4,dexamethasone_4,0.220463618418549,3.08866910416734e-10,1.73517017887687e-08,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL6ST,dexamethasone,4,dexamethasone_4,0.230915064568311,1.59413196992197e-08,7.12377724058881e-07,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL7R,dexamethasone,4,dexamethasone_4,-0.00322703197209506,0.892078274326077,0.962187435977584,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,SLAMF1,dexamethasone,4,dexamethasone_4,0.202334246906065,4.14584394776899e-08,1.74369318979696e-06,12,CD4 CM,#00AEEF,2,6
t_cd4_cm,TNFRSF4,dexamethasone,4,dexamethasone_4,-0.323236303263094,3.61775791124108e-19,4.51645491617636e-17,12,CD4 CM,#00AEEF,2,6
t_cd4_em,CD69,dexamethasone,4,dexamethasone_4,0.12456067663404,0.17701631269621,0.722241100925422,12,CD4 EM,#1C75BC,3,5
t_cd4_em,CD74,dexamethasone,4,dexamethasone_4,-0.13583784974022,0.00205937132498666,0.0603158178452824,12,CD4 EM,#1C75BC,3,5
