aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,PSMG1,0.0116752832155207,-0.451591447274125,-0.027333145451589,0.195264093859471,0.479772407648929,-1,dn,CP-associated,1,19,20,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMG2,0.0411942555842217,0.00974092517825364,0.00834575828571274,0.388986216932477,0.665334056911894,1,up,CP-associated,1,18,19,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMG3,0.0305978035351694,-0.605879051282018,-0.0310442304318832,0.071395406258454,0.29002036382559,-1,dn,CP-associated,1,17,18,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMG4,0.00489996692419981,-0.0156418588070668,-0.00167508680067222,0.987687835302107,0.995386511235032,-1,dn,CP-associated,1,16,17,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RAD23A,-0.00470040833940069,0.547927883876315,0.129964443245856,0.000243986096734136,0.00469893153022964,1,up,RP-associated,0,14,14,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RAD23B,0.117163295682844,1.02884060933958,0.402712783845607,6.12132218111208e-20,1.2472790168598e-17,1,up,RP-associated,0,13,13,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,UBE3C,0.0352716936411924,0.0442076443684839,0.0351405946455169,0.481149988281966,0.731892550226902,1,up,RP-associated,0,7,7,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,UBQLN1,0.185886720748344,0.961656436730837,0.455325845720907,4.109813182734e-23,1.12608881206912e-20,1,up,RP-associated,0,12,12,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,UBQLN2,0.00968501335924236,-0.0844956017922948,-0.0184507785770804,0.789340834044204,0.904690466114083,-1,dn,RP-associated,0,11,11,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,UCHL5,-0.00860440742167044,-0.100484652683755,-0.0248715480260552,0.750994983970904,0.888928566589864,-1,dn,RP-associated,0,8,8,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,USP14,0.252045080556982,1.08831691576409,0.505300578368488,7.49749615406772e-30,3.35177538592901e-27,1,up,RP-associated,0,9,9,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ZFAND5,0.0958103171737752,0.848525610212073,0.177179956014541,4.12585463007677e-09,2.43368119638001e-07,1,up,RP-associated,0,10,10,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_em,24,bortezomib,dmso,180,ADRM1,0.0574884750520155,1.20339253150626,0.188730851028523,0.000583550553468338,0.0279665759468554,1,up,RP 19S base,5,33,38,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ECPAS,0.288523780156237,1.26905898919374,0.671482270109166,9.63653015585269e-12,5.70689082301248e-09,1,up,RP-associated,0,5,5,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PAAF1,-0.156795222885677,-0.0898168780335619,-0.0175609124195365,0.485472268691246,0.889287957873937,-1,dn,RP-associated,0,1,1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,POMP,0.0729028701487436,0.271522855941961,0.0813589472388571,0.300035340217168,0.796011839407188,1,up,CP-associated,1,15,16,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PRKN,-0.000593355152597575,-0.134742072311962,-0.0618277585014947,0.820885157138662,0.964283030559524,-1,dn,RP-associated,0,6,6,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA1,-0.00968113591052941,0.904442792196078,0.381374473709107,0.000139148257867296,0.00922942564782204,1,up,CP 20S alpha ring,8,59,67,Bor/DMSO,CD4 EM,#1C75BC,3,5
