barcodes,treatment,timepoint,seurat_clusters,aifi_cell_type,cell_type_label,cell_type_color,UMAP_1,UMAP_2,treatment_color,timepoint_color
3a19625efb8311ed9fae72654f839162,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.1903771148637,-0.291925736795973,#FF9F45,#F24C3D
4b84f05efb8211ed9d09f6494964bb81,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-6.12503945693524,-3.32670981911929,#FF9F45,#F24C3D
461bb710fb8211ed9d09f6494964bb81,bortezomib,72,6,t_cd4_naive,CD4 Naive,#93A7D1,-5.02569377288372,1.71251051398008,#FF9F45,#F24C3D
df011f92fb8711edbbcffe1e90e63656,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.34653365478069,0.46397774191587,#FF9F45,#F24C3D
d012b2f6fb7e11edb9e426a51887eecf,bortezomib,72,6,t_cd4_naive,CD4 Naive,#93A7D1,-1.22254478797466,1.30756013365476,#FF9F45,#F24C3D
cfc48c66fb7e11edb9e426a51887eecf,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.86582553252728,2.24771468611448,#FF9F45,#F24C3D
c4f6aa88fb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.9992846237138,0.941375183779884,#FF9F45,#F24C3D
3fbc8350fb8111eda35df29f570c0793,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.85313999786823,-2.15809698132784,#FF9F45,#F24C3D
3dcf289afb8111eda35df29f570c0793,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.2501858459428,0.190581667143989,#FF9F45,#F24C3D
451d9a88fb7b11ed933dc6f18f77c1a7,bortezomib,72,8,t_cd4_naive,CD4 Naive,#93A7D1,2.0661507858321,4.34340851278989,#FF9F45,#F24C3D
44419c18fb7b11ed933dc6f18f77c1a7,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.20693576201946,-4.07448418168337,#FF9F45,#F24C3D
c5284c3cfb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.86853682860882,-0.142646652739357,#FF9F45,#F24C3D
