aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,dexamethasone,dmso,up,ATF4_122,ATF4,0.510220258136925,0.864171620646549,1,0,0.0634,0.0356352337874809,72737,2592,0.0181818181818182,55,1,4,0.650794666653876,-0.0405539772977419,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,JUND_124,JUND,1.18822184105203,0.374973002245484,1,0,0.426,0.107111923780194,72737,7791,0.127272727272727,55,7,4,0.784971306755971,-0.0209119984659544,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CEBPG_128,CEBPG,0,1,1,0,0,0.0182438098904272,72737,1327,0,55,0,4,0.423662113528378,0.0305238720047738,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,BATF_129,BATF,1.06395085204417,0.511093079037391,1,0,0.2915,0.0854448217550903,72737,6215,0.0909090909090909,55,5,4,0.380993021255762,0.0469972097095079,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,BACH1_130,BACH1,1.64259078912083,0.110204670396303,0.991842033566727,0.00355749056067511,0.9578,0.0885519061825481,72737,6441,0.145454545454545,55,8,4,0.000236224417927723,-0.1891526859105,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,FOS_137,FOS,0.973732415578041,0.590880965574782,1,0,0.2285,0.112033765483867,72737,8149,0.109090909090909,55,6,4,0.822851021638046,-0.01311922182728,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ATF7_138,ATF7,0.69349287314678,0.768245455679267,1,0,0.1145,0.0262177433768233,72737,1907,0.0181818181818182,55,1,4,0.950710903926055,-0.00386348408773851,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,JUNB_139,JUNB,1.22533902893929,0.34490540481442,1,0,0.4623,0.103867357740902,72737,7555,0.127272727272727,55,7,4,0.00629141184922181,-0.0927075201210746,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,CEBPB_140,CEBPB,1.06911148673477,0.562341325190349,1,0,0.25,0.0340129507678348,72737,2474,0.0363636363636364,55,2,4,0.922306753405771,0.000775778173584582,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,JUN_143,JUN,1.19651497526643,0.368128973642531,1,0,0.434,0.106369523076289,72737,7737,0.127272727272727,55,7,4,0.00231229780124262,-0.10743774021896,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,MAF_144,MAF,1.24099866351978,0.437320665169645,1,0,0.3592,0.0439528713034632,72737,3197,0.0545454545454545,55,3,4,0.787828414996804,0.00169423467623708,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CREB3L2_145,CREB3L2,0,1,1,0,0,0.0297922652845182,72737,2167,0,55,0,4,0.899601826579396,0.0139173975796809,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MAFG_148,MAFG,0,1,1,0,0,0.0362951455242861,72737,2640,0,55,0,4,0.749995483351136,0.0110886913857306,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ATF6B_151,ATF6B,0,1,1,0,0,0.0194398999133866,72737,1414,0,55,0,4,0.672474325301779,0.00464093009316718,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ZEB1_157,ZEB1,0.351399205285216,0.981974024865487,1,0,0.0079,0.103482409227766,72737,7527,0.0363636363636364,55,2,4,0.838711435481485,0.048454440659536,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ZFX_158,ZFX,0.0843425324675325,1,1,0,0,0.215571167356366,72737,15680,0.0181818181818182,55,1,4,0.799582763261256,0.0062954627975812,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ZNF263_159,ZNF263,0.498094576133068,0.999079389984462,1,0,4e-04,0.365027427581561,72737,26551,0.181818181818182,55,10,4,0.99584932830878,0.000275065161637458,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,HIVEP2_160,HIVEP2,0,1,1,0,0,0.059667019536137,72737,4340,0,55,0,4,0.878405697959571,-0.0371400691761983,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,PRDM1_163,PRDM1,1.19158660878316,0.275296062615514,1,0,0.5602,0.213618928468317,72737,15538,0.254545454545455,55,14,4,4.49860413128845e-20,0.285768364301957,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,ZNF76_164,ZNF76,0.965791803133575,0.599238902583478,1,0,0.2224,0.112954892283157,72737,8216,0.109090909090909,55,6,4,0.616596672906629,-0.0263622262444231,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,KLF6_165,KLF6,0,1,1,0,0,0.138856427952761,72737,10100,0,55,0,4,0.470825617375946,0.0739084918497697,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,REST_168,REST,0.37549429559651,0.974540741766306,1,0,0.0112,0.0968420473761634,72737,7044,0.0363636363636364,55,2,4,0.829470433488536,-0.0116705216886837,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,HIVEP1_170,HIVEP1,0.665795054081679,0.839073489910136,1,0,0.0762,0.0819252924921292,72737,5959,0.0545454545454545,55,3,4,2.35930729141778e-05,-0.19769777216841,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,YY1_173,YY1,0.537488684857106,0.894128627502954,1,0,0.0486,0.0676547011837167,72737,4921,0.0363636363636364,55,2,4,0.946202640763485,0.0163167498995009,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CTCF_177,CTCF,0.317868263211371,0.999539589003088,1,0,2e-04,0.228796898414837,72737,16642,0.0727272727272727,55,4,4,0.497426721979644,0.0429161318997678,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,SP4_180,SP4,0.41186263129583,0.992201775840166,1,0,0.0034,0.176581382240125,72737,12844,0.0727272727272727,55,4,4,0.848682696656016,-0.0216440790715351,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ZKSCAN1_181,ZKSCAN1,0,1,1,0,0,0.0153291997195375,72737,1115,0,55,0,4,0.933342562454144,0.0153340316670186,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,KLF3_184,KLF3,0.387770388239528,0.970286524792922,1,0,0.0131,0.0937762074322559,72737,6821,0.0363636363636364,55,2,4,0.968357951995631,-0.0104768540042609,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,PRDM4_185,PRDM4,0.90026610557584,0.655390285833477,1,0,0.1835,0.0605881463354276,72737,4407,0.0545454545454545,55,3,4,0.641750135708119,0.0302032436382179,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,BCL6_187,BCL6,1.39503260452628,0.210814267625319,1,0,0.6761,0.104266054415222,72737,7584,0.145454545454545,55,8,4,0.122180153441774,-0.056048615339731,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,KLF7_189,KLF7,0.195461263536936,0.999769767998157,1,0,1e-04,0.186040117134333,72737,13532,0.0363636363636364,55,2,4,0.340269296435661,0.0812590020072441,up,CD4 CM,#00AEEF,2,6,gray60
